0	(30667)	..qq...
1	(30666)	..qq...
2	(30665)	...v..s
3	(30664)	...v..s
4	(30663)	...vsss
5	(30662)	...vc..
6	(30661)	...ccc.
7	(30660)	....c..
8	(30659)	.hhhh..
9	(30658)	.v.....
10	(30657)	.v..qq.
11	(30656)	.v.sqq.
12	(30655)	.v.s.c.
13	(30654)	.sssccc
14	(30653)	.hhhhc.
15	(30652)	qq.....
16	(30651)	qq.....
17	(30650)	.v.....
18	(30649)	.v..s..
19	(30648)	.v..s..
20	(30647)	.vsss..
21	(30646)	hhhh.c.
22	(30645)	...vccc
23	(30644)	...v.c.
24	(30643)	...v.s.
25	(30642)	...v.s.
26	(30641)	...sss.
27	(30640)	...c...
28	(30639)	qqccc..
29	(30638)	qq.c...
30	(30637)	.hhhh..
31	(30636)	...qq..
32	(30635)	v..qq..
33	(30634)	v...s..
34	(30633)	v...s..
35	(30632)	vcsss..
36	(30631)	ccc....
37	(30630)	vc.....
38	(30629)	vqq....
39	(30628)	vqqhhhh
40	(30627)	vc....s
41	(30626)	ccc...s
42	(30625)	.c..sss
43	(30624)	.hhhh..
44	(30623)	..qq.s.
45	(30622)	..qq.s.
46	(30621)	...sss.
47	(30620)	...c...
48	(30619)	..ccc..
49	(30618)	...c...
50	(30617)	..hhhh.
51	(30616)	..v.v..
52	(30615)	..v.v..
53	(30614)	..v.v..
54	(30613)	..v.v..
55	(30612)	..qqs..
56	(30611)	..qqs..
57	(30610)	..sssc.
58	(30609)	....ccc
59	(30608)	vhhhhc.
60	(30607)	vqq..s.
61	(30606)	vqq..s.
62	(30605)	vc.sss.
63	(30604)	ccchhhh
64	(30603)	.cv.qq.
65	(30602)	..v.qq.
66	(30601)	..v.s..
67	(30600)	..v.s..
68	(30599)	..sssc.
69	(30598)	....ccc
70	(30597)	.....c.
71	(30596)	hhhh.qq
72	(30595)	..v..qq
73	(30594)	..v...s
74	(30593)	..v...s
75	(30592)	..vcsss
76	(30591)	..ccc..
77	(30590)	...c...
78	(30589)	..hhhh.
79	(30588)	..v....
80	(30587)	..v....
81	(30586)	..v....
82	(30585)	..v....
83	(30584)	qqs....
84	(30583)	qqs....
85	(30582)	sssc...
86	(30581)	..ccc..
87	(30580)	...c...
88	(30579)	.hhhh.s
